행정구역,총인구수,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,100세 이상
서울특별시  (1100000000),"9,261,703","483,371","718,785","1,303,570","1,434,483","1,370,415","1,467,335","1,311,745","768,480","353,113","49,066","1,340"
부산광역시  (2600000000),"3,252,667","181,658","262,549","357,540","387,418","468,111","533,481","558,166","336,005","148,403","18,934",402
대구광역시  (2700000000),"2,355,509","142,193","212,271","267,563","281,636","342,833","415,666","373,979","204,794","100,386","13,939",249
인천광역시  (2800000000),"3,005,371","195,104","272,158","350,225","419,797","472,218","512,453","457,063","211,665","98,028","16,186",474
광주광역시  (2900000000),"1,403,862","92,817","145,331","181,619","173,015","218,454","241,910","189,918","103,337","49,701","7,586",174
대전광역시  (3000000000),"1,433,942","91,479","135,465","193,065","190,184","211,829","242,351","205,603","105,729","50,217","7,811",209
울산광역시  (3100000000),"1,094,850","73,065","109,309","116,965","135,891","172,347","201,987","174,677","77,216","29,255","4,055",83
세종특별자치시  (3600000000),"389,842","41,344","52,502","37,027","58,715","76,878","56,944","38,627","17,730","8,392","1,647",36
경기도  (4100000000),"13,629,700","939,477","1,316,256","1,623,250","1,899,661","2,201,240","2,339,534","1,898,340","901,257","439,091","69,783","1,811"
강원특별자치도  (5100000000),"1,512,327","85,732","126,500","155,812","157,941","199,572","259,282","278,007","149,229","86,247","13,593",412
충청북도  (4300000000),"1,586,549","97,806","142,899","173,389","188,656","223,906","272,101","263,299","135,818","76,040","12,359",276
충청남도  (4400000000),"2,129,779","135,288","201,632","219,792","251,411","316,470","351,428","333,864","187,946","110,925","20,544",479
전북특별자치도  (5200000000),"1,733,542","95,041","161,272","180,866","172,022","233,343","300,553","287,874","179,500","104,116","18,511",444
전라남도  (4600000000),"1,784,575","101,321","156,342","168,896","168,668","231,774","307,038","310,986","195,196","123,151","20,671",532
경상북도  (4700000000),"2,524,150","140,205","215,629","235,354","254,750","342,277","439,283","456,137","264,606","150,508","24,866",535
경상남도  (4800000000),"3,218,754","194,945","313,940","305,158","344,632","487,151","581,995","538,802","284,161","144,180","23,352",438
제주특별자치도  (5000000000),"666,524","47,730","70,191","69,826","77,214","104,464","118,383","96,119","49,576","27,295","5,505",221
